Her,2013,Spike Jonze,Joaquin Phoenix|Amy Adams,7.4
Terminator 2: Judgment Day,1991,James Cameron,Arnold Schwarzenegger|Linda Hamilton,7.6
Brokeback Mountain,2005,Ang Lee,Heath Ledger|Jake Gyllenhaal,7.3
Scary Movie,2000,Keenen Ivory Wayans,Anna Faris|Jon Abrahams,6.3
Equilibrium,2002,Kurt Wimmer,Christian Bale|Emily Watson,7.5
Fantastic Beasts and Where to Find Them,2016,David Yates,Eddie Redmayne|Katherine Waterston,7.1
Awakenings,1990,Penny Marshall,Robert De Niro|Robin Williams,8.1
Midnight in Paris,2011,Woody Allen,Owen Wilson|Rachel McAdams,7.1
Apollo 13,1995,Ron Howard,Tom Hanks|Bill Paxton,7.4
Artificial Intelligence: AI,2001,Steven Spielberg,Haley Joel Osment|Frances O'Connor,7.3
Wolyn,2016,Wojciech Smarzowski,Michalina Labacz|Arkadiusz Jakubik,7.8
Hancock,2008,Peter Berg,Will Smith|Charlize Theron,7.0
Ratatouille,2007,Brad Bird,None,7.3
Perfetti sconosciuti,2016,Paolo Genovese,Marco Giallini|Kasia Smutniak,7.7
Once Upon a Time in America,1984,Sergio Leone,Robert De Niro|James Woods,8.2
La migliore offerta,2013,Giuseppe Tornatore,Geoffrey Rush|Jim Sturgess,7.9
A Walk to Remember,2002,Adam Shankman,Mandy Moore|Shane West,7.5
Southpaw,2015,Antoine Fuqua,Jake Gyllenhaal|Rachel McAdams,7.7
Pitbull. Nowe porzadki,2016,Patryk Vega,Piotr Stramowski|Andrzej Grabowski,7.2
Iron Man 2,2010,Jon Favreau,Robert Downey Jr.|Gwyneth Paltrow,7.3
One Day,2011,Lone Scherfig,Anne Hathaway|Jim Sturgess,7.5
Drogowka,2013,Wojciech Smarzowski,Bartlomiej Topa|Arkadiusz Jakubik,7.1
El Maquinista,2004,Brad Anderson,Christian Bale|Jennifer Jason Leigh,7.6
Heat,1995,Michael Mann,Al Pacino|Robert De Niro,8.1
Angels & Demons,2009,Ron Howard,Tom Hanks|Ewan McGregor,7.0
The Maze Runner,2014,Wes Ball,Dylan O'Brien|Aml Ameen,7.0
Joker,2019,Todd Phillips,Joaquin Phoenix|Robert De Niro,8.5
Breakfast at Tiffany's,1961,Blake Edwards,Audrey Hepburn|George Peppard,7.8
Indiana Jones and the Last Crusade,1989,Steven Spielberg,Harrison Ford|Sean Connery,7.7
Sami swoi,1967,Sylwester Checinski,Waclaw Kowalski|Wladyslaw Hancza,7.8
21 Grams,2003,Alejandro González Iñárritu,Sean Penn|Naomi Watts,7.6
Manchester by the Sea,2016,Kenneth Lonergan,Casey Affleck|Lucas Hedges,7.6
Bohemian Rhapsody,2018,Bryan Singer,Rami Malek|Lucy Boynton,8.0
Maleficent,2014,Robert Stromberg,Angelina Jolie|Elle Fanning,7.3
The Terminator,1984,James Cameron,Arnold Schwarzenegger|Michael Biehn,7.3
The Deer Hunter,1978,Michael Cimino,Robert De Niro|John Cazale,8.1
Memoirs of a Geisha,2005,Rob Marshall,Ziyi Zhang|Michelle Yeoh,7.7
Death Proof,2007,Quentin Tarantino,Kurt Russell|Rosario Dawson,7.1
Man on Fire,2004,Tony Scott,Denzel Washington|Dakota Fanning,7.9
The Imaginarium of Doctor Parnassus,2009,Terry Gilliam,Christopher Plummer|Heath Ledger,6.6
Vinci,2004,Juliusz Machulski,Borys Szyc|Robert Wieckiewicz,7.1
Split,2016,M. Night Shyamalan,James McAvoy|Anya Taylor-Joy,7.3
Inside Out,2015,Pete Docter,None,7.7
Les Misérables,2012,Tom Hooper,Hugh Jackman|Russell Crowe,7.4
Mad Max: Fury Road,2015,George Miller,Tom Hardy|Charlize Theron,7.2
Arrival,2016,Denis Villeneuve,Amy Adams|Jeremy Renner,7.2
Divergent,2014,Neil Burger,Shailene Woodley|Theo James,7.1
Juno,2007,Jason Reitman,Ellen Page|Michael Cera,6.7
The Passion of the Christ,2004,Mel Gibson,Jim Caviezel|Maia Morgenstern,7.4
Source Code,2011,Duncan Jones,Jake Gyllenhaal|Michelle Monaghan,7.3
The Big Short,2015,Adam McKay,Christian Bale|Steve Carell,7.4
Fury,2014,David Ayer,Brad Pitt|Shia LaBeouf,7.3
The Godfather: Part III,1990,Francis Ford Coppola,Al Pacino|Diane Keaton,8.0
Revolutionary Road,2008,Sam Mendes,Kate Winslet|Leonardo DiCaprio,7.2
Sleepers,1996,Barry Levinson,Jason Patric|Brad Pitt,7.9
Poklosie,2012,Wladyslaw Pasikowski,Ireneusz Czop|Maciej Stuhr,7.4
The Conjuring,2013,James Wan,Vera Farmiga|Patrick Wilson,7.4
Yes Man,2008,Peyton Reed,Jim Carrey|Zooey Deschanel,7.0
The Others,2001,Alejandro Amenábar,Nicole Kidman|Fionnula Flanagan,7.4
Blade Runner 2049,2017,Denis Villeneuve,Ryan Gosling|Harrison Ford,7.5
Star Wars: Episode III - Revenge of the Sith,2005,George Lucas,Ewan McGregor|Natalie Portman,7.6
Listy do M.,2011,Mitja Okorn,Maciej Stuhr|Roma Gasiorowska,6.9
Me Before You,2016,Thea Sharrock,Emilia Clarke|Sam Claflin,7.5
Kingsman: The Secret Service,2014,Matthew Vaughn,Taron Egerton|Colin Firth,7.3
Thor,2011,Kenneth Branagh,Chris Hemsworth|Natalie Portman,6.9
The Hours,2002,Stephen Daldry,Nicole Kidman|Julianne Moore,7.3
Jumanji,1995,Joe Johnston,Robin Williams|Kirsten Dunst,6.8
Wesele,2004,Wojciech Smarzowski,Tamara Arciuch|Bartlomiej Topa,7.6
